,İşletim Sistemi,İşlemci,Bellek Kapasitesi,Ekran Boyutu (inç),Ekran,Arka kamera çözünürlüğü,Ön Kamera Çözünürlüğü,Yüz Tanıma,Üretici Garantisi
190,ANDROID,Mediatek,64,6.3,TFT,Ultra,8,Hayır,2
191,AndroidAndroid,Exynos,256,6.7,FHD+,Ultra,10.0,,2
192,iOSiOS,A14,256,6.1,Süper,Single,12,Evet,2
193,AndroidAndroid,Qualcomm,128,6.44,AMOLED,Single,16,Hayır,2
194,iOSiOS,A14,512,6.7,Super,12,12,Evet,2
195,AndroidAndroid,Qualcomm,128,6.44,Amoled,48,16,Hayır,2
196,iOSiOS,A14,256,6.1,Super,12,12,Evet,2
197,AndroidAndroid,Snapdragon,64,6.67,FHD+,Ultra,16,Evet,2
198,AndroidAndroid,SDM460,64,6.51,IPS,Single,8,Hayır,2
199,AndroidAndroid,Qualcomm,128,6.47,Amoled,108,32,Evet,2
200,AndroidAndroid,Exynos,,6.2,FHD+,Ultra,,,1
201,AndroidAndroid,Octa-Core,128,6.5,6.5,,13.0,Evet,2
202,iOSiOS,Üçüncü,128,6.1,Liquid,Gece,12,Evet,2
203,iOSiOS,A14,256,6.7,Super,12,12,Evet,2
204,iOSiOS,A14,128,6.1,Super,12,12,Evet,2
205,iOSiOS,A14,128,6.7,Super,12,12,Evet,1
206,iOSiOS,Üçüncü,64,6.1,Liquid,Gece,12,Evet,2
207,AndroidAndroid,Helio,128,6.4,6.4,64.0,20,Hayır,2
208,iOSiOS,A14,256,6.1,Super,12,12,Evet,2
209,AndroidAndroid,Exynos,256,6.7,FHD+,Ultra,10.0,,2
210,iOSiOS,Üçüncü,128,6.1,Liquid,Gece,12,Evet,2
211,AndroidAndroid,MediaTek,128,6.4,6.4”,48MP,21,Evet,2
212,AndroidAndroid,MediaTek,64,6.53,FHD+,Gece,18,Evet,2
213,AndroidAndroid,Octa-Core,128,6.7,FHD+,123,,Evet,2
214,iOSiOS,A14,512,6.7,Super,12,12,Evet,2
215,iOSiOS,A13,128,4.7,Retina,Altı,7,Hayır,2
216,iOSiOS,Üçüncü,128,6.1,Liquid,Gece,12,Evet,2
217,iOSiOS,A14,256,6.7,Super,12,12,Evet,2
218,AndroidAndroid,Helio,128,6.4,6.4,64.0,20,Hayır,2
219,AndroidAndroid,MediaTek,64,6.5,,64,16,Evet,1
220,AndroidAndroid,Octa-Core,128,6.7,,64MP,32,Evet,2
221,ANDROID,Mediatek,32,5.45,TFT,Panorama,5,Hayır,2
222,iOSiOS,Yeni,64,6.1,Liquid,Yavaş,7,Evet,2
223,AndroidAndroid,Octa-Core,128,6.7,6.7”,64MP,32.0,Evet,2
224,AndroidAndroid,Exynos,,6.9,WQHD+,Ultra,10.0,,2
225,iOSiOS,A14,256,6.1,Super,12,12,Evet,2
226,iOSiOS,A13,128,4.7,Retina,Altı,7,Hayır,2
227,AndroidAndroid,Exynos,,6.9,WQHD+,Ultra,,,1
228,AndroidAndroid,MediaTek,64,6.53,FHD+,Gece,13,Evet,2
229,AndroidAndroid,MT6762D,64,6.09,IPS,Triple,8,Evet,2
230,AndroidAndroid,Exynos,,6.9,WQHD+,Ultra,10.0,,2
231,AndroidAndroid,Qualcomm,128,6.4,6.4,64,8,Evet,2
232,iOSiOS,A13,64,4.7,Retina,Altı,7,Hayır,1
233,AndroidAndroid,Exynos,,6.9,WQHD+,Ultra,10.0,,2
234,AndroidAndroid,Qualcomm,128,6.43,AMOLED,64,44,Evet,2
235,AndroidAndroid,Spreadtrum,64,6.22,Mini,13,5,Evet,2
236,iOSiOS,A13,64,4.7,Retina,Altı,7,Hayır,2
237,iOSiOS,Üçüncü,128,6.1,Liquid,Gece,12,Evet,2
238,iOSiOS,A14,64,6.1,Super,12MP,12,Evet,2
239,AndroidAndroid,Qualcomm,128,6.4,,64,8,Evet,2
240,iOSiOS,A14,512,6.1,Super,12,12,Evet,2
241,AndroidAndroid,MediaTek,128,6.53,FHD+,Gece,13,Evet,2
242,iOSiOS,iOSiOS,64,6.1,,Single,7,Evet,2
243,AndroidAndroid,Mediatek,128,6.3,IPS,Triple,16,Evet,2
244,iOSiOS,Yeni,64,6.1,Liquid,Yavaş,7,Evet,2
245,AndroidAndroid,MediaTek,64,6.5,,64,16,Evet,2
246,AndroidAndroid,MT6762D,64,6.09,IPS,Yapay,8,Evet,2
247,AndroidAndroid,Snapdragon,128,6.67,FHD+,Ultra,16,Evet,2
248,AndroidAndroid,MT6762D,64,6.09,IPS,Yapay,8,Evet,2
